Время[с],Напряжение[В]
0.7130,1.9223
0.7137,1.9223
0.7144,1.9148
0.7152,1.9148
0.7159,1.9223
0.7166,1.9223
0.7173,1.9148
0.7181,1.9223
0.7187,1.9148
0.7194,1.9223
0.7201,1.9223
0.7208,1.9223
0.7216,1.9186
0.7223,1.9223
0.7230,1.9260
0.7238,1.9186
0.7245,1.9223
0.7252,1.9223
0.7260,1.9186
0.7268,1.9223
0.7275,1.9223
0.7283,1.9186
0.7290,1.9223
0.7298,1.9148
0.7305,1.9186
0.7312,1.9223
0.7320,1.9223
0.7328,1.9223
0.7335,1.9223
0.7343,1.9148
0.7350,1.9223
0.7356,1.9223
0.7363,1.9260
0.7370,1.9260
0.7377,1.9223
0.7385,1.9260
0.7392,1.9223
0.7399,1.9223
0.7406,1.9111
0.7413,1.9186
0.7420,1.9223
0.7427,1.9223
0.7435,1.9223
0.7443,1.9223
0.7449,1.9111
0.7457,1.9223
0.7464,1.9148
0.7471,1.9111
0.7478,1.9148
0.7485,1.9148
0.7492,1.9186
0.7499,1.9223
0.7506,1.9223
0.7513,1.9223
0.7520,1.9148
0.7527,1.9186
0.7534,1.9223
0.7541,1.9223
0.7549,1.9186
0.7556,1.9223
0.7564,1.9186
0.7571,1.9260
0.7578,1.9186
0.7585,1.9223
0.7593,1.9223
0.7600,1.9223
0.7608,1.9260
0.7615,1.9186
0.7623,1.9223
0.7631,1.9148
0.7638,1.9223
0.7646,1.9223
0.7653,1.9148
0.7661,1.9186
0.7668,1.9148
0.7676,1.9186
0.7683,1.9186
0.7690,1.9186
0.7697,1.9223
0.7705,1.9111
0.7712,1.9148
0.7720,1.9260
0.7727,1.9223
0.7735,1.9186
0.7742,1.9186
0.7749,1.9186
0.7756,1.9223
0.7763,1.9223
0.7771,1.9260
0.7778,1.9186
0.7785,1.9148
0.7793,1.9148
0.7800,1.9223
0.7807,1.9186
0.7814,1.9223
0.7822,1.9186
0.7829,1.9148
0.7836,1.9223
0.7844,1.9223
0.7851,1.9223
0.7859,1.9223
0.7866,1.9186
0.7874,1.9223
0.7881,1.9260
0.7888,1.9186
0.7896,1.9223
0.7903,1.9223
0.7910,1.9223
0.7918,1.9223
0.7925,1.9148
0.7932,1.9223
0.7940,1.9260
0.7947,1.9223
0.7954,1.9186
0.7962,1.9186
0.7969,1.9223
0.7977,1.9223
0.7984,1.9148
0.7992,1.9148
0.7999,1.9223
0.8006,1.9260
0.8016,1.9223
0.8024,1.9186
0.8034,1.9148
0.8042,1.9223
0.8053,1.9186
0.8064,1.9223
0.8076,1.9223
0.8085,1.9186
0.8092,1.9223
0.8101,1.9186
0.8108,1.9148
0.8116,1.9223
0.8124,1.9223
0.8133,1.9223
0.8140,1.9223
0.8148,1.9223
0.8156,1.9111
0.8164,1.9148
0.8172,1.9148
0.8180,1.9111
0.8189,1.9260
0.8197,1.9223
0.8204,1.9223
0.8212,1.9223
0.8220,1.9186
0.8229,1.9223
0.8237,1.9223
0.8244,1.9223
0.8252,1.9223
0.8260,1.9223
0.8268,1.9148
0.8276,1.9223
0.8284,1.9260
0.8292,1.9223
0.8300,1.9223
0.8307,1.9260
0.8315,1.9223
0.8323,1.9260
0.8331,1.9223
0.8339,1.9148
0.8347,1.9186
0.8355,1.9223
0.8364,1.9223
0.8371,1.9223
0.8379,1.9223
0.8390,1.9186
0.8399,1.9260
0.8408,1.9148
0.8417,1.9186
0.8425,1.9223
0.8434,1.9223
0.8443,1.9148
0.8453,1.9223
0.8461,1.9148
0.8469,1.9223
0.8478,1.9186
0.8485,1.9223
0.8494,1.9148
0.8502,1.9223
0.8512,1.9223
0.8519,1.9223
0.8527,1.9186
0.8536,1.9223
0.8544,1.9148
0.8552,1.9186
0.8560,1.9223
0.8568,1.9223
0.8576,1.9223
0.8583,1.9223
0.8591,1.9223
0.8599,1.9260
0.8607,1.9148
0.8615,1.9148
0.8623,1.9186
0.8630,1.9223
0.8638,1.9223
