Время[с],Напряжение[В]
0.4819,1.7293
0.4827,1.7293
0.4835,1.7293
0.4842,1.7330
0.4850,1.7330
0.4857,1.7293
0.4865,1.7367
0.4873,1.7367
0.4881,1.7367
0.4889,1.7293
0.4897,1.7367
0.4906,1.7330
0.4914,1.7293
0.4922,1.7293
0.4931,1.7367
0.4938,1.7330
0.4946,1.7293
0.4953,1.7330
0.4960,1.7367
0.4968,1.7330
0.4976,1.7367
0.4984,1.7367
0.4992,1.7293
0.5001,1.7367
0.5011,1.7330
0.5020,1.7293
0.5028,1.7367
0.5037,1.7367
0.5046,1.7330
0.5054,1.7330
0.5062,1.7367
0.5070,1.7293
0.5078,1.7293
0.5086,1.7367
0.5094,1.7367
0.5102,1.7293
0.5110,1.7404
0.5119,1.7367
0.5126,1.7293
0.5134,1.7293
0.5143,1.7293
0.5151,1.7330
0.5160,1.7330
0.5167,1.7330
0.5176,1.7367
0.5184,1.7330
0.5192,1.7367
0.5200,1.7367
0.5209,1.7367
0.5217,1.7367
0.5225,1.7330
0.5233,1.7367
0.5241,1.7367
0.5249,1.7367
0.5257,1.7367
0.5265,1.7330
0.5273,1.7293
0.5280,1.7330
0.5288,1.7330
0.5297,1.7330
0.5304,1.7293
0.5312,1.7367
0.5320,1.7293
0.5328,1.7367
0.5336,1.7367
0.5344,1.7367
0.5352,1.7293
0.5360,1.7293
0.5368,1.7367
0.5376,1.7367
0.5384,1.7367
0.5391,1.7404
0.5399,1.7367
0.5407,1.7330
0.5414,1.7330
0.5422,1.7367
0.5430,1.7404
0.5438,1.7367
0.5446,1.7293
0.5453,1.7367
0.5461,1.7330
0.5469,1.7367
0.5477,1.7367
0.5486,1.7330
0.5493,1.7367
0.5501,1.7293
0.5509,1.7293
0.5517,1.7367
0.5526,1.7367
0.5534,1.7330
0.5543,1.7367
0.5552,1.7330
0.5562,1.7293
0.5572,1.7367
0.5582,1.7404
0.5591,1.7367
0.5599,1.7293
0.5607,1.7367
0.5616,1.7367
0.5625,1.7367
0.5633,1.7367
0.5641,1.7367
0.5649,1.7367
0.5661,1.7330
0.5673,1.7367
0.5686,1.7330
0.5695,1.7367
0.5703,1.7330
0.5711,1.7367
0.5720,1.7330
0.5729,1.7367
0.5737,1.7330
0.5745,1.7293
0.5753,1.7404
0.5760,1.7293
0.5768,1.7367
0.5775,1.7367
0.5783,1.7256
0.5790,1.7330
0.5797,1.7293
0.5805,1.7367
0.5814,1.7367
0.5824,1.7367
0.5834,1.7367
0.5845,1.7367
0.5855,1.7330
0.5865,1.7367
0.5873,1.7367
0.5882,1.7330
0.5890,1.7367
0.5899,1.7367
0.5907,1.7330
0.5915,1.7293
0.5924,1.7330
0.5932,1.7367
0.5940,1.7293
0.5949,1.7330
0.5958,1.7330
0.5968,1.7367
0.5978,1.7256
0.5987,1.7367
0.5996,1.7293
0.6005,1.7367
0.6013,1.7367
0.6022,1.7293
0.6031,1.7367
0.6039,1.7367
0.6047,1.7330
0.6056,1.7330
0.6064,1.7367
0.6072,1.7293
0.6080,1.7293
0.6087,1.7330
0.6095,1.7293
0.6103,1.7330
0.6111,1.7293
0.6119,1.7330
0.6126,1.7293
0.6135,1.7330
0.6143,1.7293
0.6150,1.7404
0.6158,1.7330
0.6166,1.7367
0.6173,1.7367
0.6181,1.7367
0.6189,1.7367
0.6196,1.7293
0.6204,1.7330
0.6211,1.7330
0.6219,1.7330
0.6227,1.7330
0.6235,1.7293
0.6243,1.7367
0.6251,1.7293
0.6260,1.7330
0.6270,1.7293
0.6279,1.7367
0.6289,1.7330
0.6298,1.7367
0.6305,1.7330
0.6314,1.7256
0.6322,1.7367
0.6330,1.7367
0.6338,1.7293
0.6345,1.7367
0.6353,1.7293
0.6362,1.7367
0.6370,1.7367
0.6378,1.7367
0.6386,1.7367
0.6394,1.7367
0.6402,1.7367
0.6410,1.7330
0.6419,1.7367
0.6426,1.7293
0.6434,1.7367
0.6443,1.7367
0.6450,1.7367
0.6458,1.7367
0.6466,1.7330
0.6474,1.7367
0.6482,1.7330
0.6489,1.7293
0.6497,1.7367
0.6505,1.7293
0.6514,1.7293
0.6522,1.7330
0.6531,1.7330
0.6538,1.7330
0.6546,1.7330
0.6554,1.7330
0.6564,1.7367
0.6572,1.7293
0.6579,1.7330
0.6589,1.7330
0.6598,1.7367
0.6606,1.7293
0.6615,1.7293
0.6624,1.7256
0.6634,1.7293
0.6644,1.7330
0.6653,1.7367
0.6661,1.7293
0.6670,1.7330
0.6679,1.7330
0.6688,1.7330
0.6696,1.7293
0.6704,1.7367
0.6712,1.7367
0.6720,1.7293
0.6728,1.7293
0.6735,1.7293
0.6742,1.7367
0.6750,1.7330
0.6757,1.7330
0.6765,1.7293
0.6772,1.7367
0.6780,1.7293
0.6787,1.7293
0.6794,1.7330
0.6802,1.7293
0.6810,1.7293
0.6817,1.7367
0.6825,1.7367
0.6833,1.7367
0.6841,1.7330
0.6849,1.7367
0.6857,1.7367
0.6865,1.7367
0.6872,1.7330
0.6879,1.7330
0.6886,1.7367
0.6893,1.7330
0.6900,1.7330
0.6907,1.7330
0.6915,1.7330
0.6923,1.7367
0.6930,1.7330
0.6938,1.7330
0.6946,1.7367
0.6954,1.7293
0.6962,1.7330
0.6969,1.7330
0.6977,1.7293
0.6986,1.7367
0.6993,1.7330
0.7001,1.7367
0.7010,1.7367
0.7018,1.7293
0.7025,1.7330
0.7034,1.7330
0.7041,1.7367
0.7049,1.7367
0.7058,1.7330
0.7067,1.7367
0.7075,1.7330
0.7084,1.7367
0.7092,1.7367
0.7099,1.7330
0.7108,1.7367
0.7116,1.7293
0.7124,1.7367
0.7132,1.7367
0.7139,1.7367
0.7147,1.7293
0.7154,1.7367
0.7162,1.7367
0.7171,1.7367
0.7179,1.7404
0.7186,1.7330
0.7194,1.7293
0.7202,1.7330
0.7211,1.7293
0.7219,1.7293
0.7227,1.7367
0.7235,1.7367
0.7243,1.7367
0.7252,1.7330
0.7260,1.7367
0.7268,1.7367
0.7276,1.7330
0.7283,1.7367
0.7291,1.7367
0.7300,1.7330
0.7308,1.7330
0.7315,1.7367
0.7322,1.7404
0.7330,1.7367
0.7338,1.7367
0.7345,1.7367
0.7353,1.7367
0.7361,1.7330
0.7368,1.7367
0.7376,1.7330
0.7383,1.7367
0.7391,1.7330
0.7399,1.7367
0.7407,1.7367
0.7415,1.7330
0.7422,1.7367
0.7430,1.7367
0.7438,1.7293
0.7445,1.7367
0.7453,1.7367
0.7461,1.7367
0.7468,1.7367
0.7476,1.7293
0.7484,1.7367
0.7492,1.7330
0.7499,1.7330
0.7507,1.7330
0.7515,1.7330
0.7522,1.7367
0.7530,1.7367
0.7538,1.7367
0.7545,1.7293
0.7553,1.7330
0.7561,1.7367
0.7568,1.7367
0.7576,1.7293
0.7583,1.7330
0.7590,1.7330
0.7597,1.7330
0.7605,1.7367
0.7612,1.7367
0.7619,1.7330
0.7627,1.7367
0.7634,1.7330
0.7642,1.7293
0.7649,1.7293
0.7657,1.7367
