Время[с],Напряжение[В]
0.3044,1.8814
0.3050,1.8814
0.3058,1.8740
0.3065,1.8777
0.3072,1.8852
0.3079,1.8852
0.3086,1.8852
0.3092,1.8852
0.3099,1.8814
0.3106,1.8814
0.3114,1.8777
0.3121,1.8777
0.3128,1.8740
0.3137,1.8852
0.3145,1.8852
0.3153,1.8777
0.3161,1.8814
0.3169,1.8852
0.3178,1.8777
0.3187,1.8852
0.3195,1.8852
0.3203,1.8852
0.3210,1.8814
0.3217,1.8777
0.3225,1.8814
0.3232,1.8814
0.3239,1.8852
0.3247,1.8814
0.3254,1.8814
0.3261,1.8814
0.3268,1.8814
0.3275,1.8814
0.3282,1.8814
0.3289,1.8814
0.3297,1.8852
0.3305,1.8740
0.3312,1.8777
0.3320,1.8740
0.3327,1.8777
0.3335,1.8814
0.3342,1.8814
0.3350,1.8814
0.3358,1.8777
0.3365,1.8740
0.3373,1.8814
0.3380,1.8814
0.3387,1.8740
0.3394,1.8814
0.3402,1.8814
0.3409,1.8740
0.3416,1.8814
0.3423,1.8852
0.3430,1.8740
0.3437,1.8777
0.3444,1.8814
0.3451,1.8777
0.3458,1.8814
0.3466,1.8777
0.3474,1.8852
0.3482,1.8814
0.3490,1.8814
0.3497,1.8703
0.3505,1.8777
0.3512,1.8777
0.3519,1.8777
0.3527,1.8852
0.3535,1.8814
0.3542,1.8777
0.3548,1.8740
0.3555,1.8777
0.3560,1.8814
0.3566,1.8814
0.3572,1.8777
0.3578,1.8777
0.3584,1.8814
0.3589,1.8814
0.3595,1.8777
0.3601,1.8777
0.3607,1.8777
0.3613,1.8777
0.3619,1.8814
0.3625,1.8777
0.3632,1.8814
0.3638,1.8777
0.3644,1.8814
0.3650,1.8814
0.3656,1.8777
0.3662,1.8777
0.3669,1.8740
0.3676,1.8740
0.3683,1.8777
0.3689,1.8740
0.3696,1.8814
0.3703,1.8777
0.3710,1.8814
0.3717,1.8777
0.3724,1.8703
0.3732,1.8814
0.3738,1.8777
0.3745,1.8777
0.3751,1.8814
0.3758,1.8703
0.3766,1.8814
0.3774,1.8740
0.3781,1.8777
0.3789,1.8703
0.3796,1.8777
0.3803,1.8814
0.3811,1.8777
0.3818,1.8740
0.3826,1.8703
0.3833,1.8814
0.3841,1.8814
0.3848,1.8777
0.3856,1.8814
0.3863,1.8703
0.3871,1.8703
0.3878,1.8814
0.3886,1.8814
0.3894,1.8777
0.3901,1.8703
0.3908,1.8814
0.3916,1.8740
0.3923,1.8814
0.3931,1.8814
0.3938,1.8777
0.3946,1.8814
0.3953,1.8777
0.3961,1.8777
0.3968,1.8703
0.3975,1.8740
0.3983,1.8777
0.3991,1.8777
0.3998,1.8703
0.4006,1.8740
0.4013,1.8740
0.4020,1.8814
0.4027,1.8740
0.4035,1.8777
0.4042,1.8740
0.4050,1.8777
0.4057,1.8777
0.4064,1.8777
0.4072,1.8777
0.4079,1.8777
0.4086,1.8740
0.4093,1.8703
0.4101,1.8740
0.4109,1.8777
0.4117,1.8777
0.4125,1.8740
0.4132,1.8703
0.4139,1.8777
0.4147,1.8703
0.4154,1.8740
0.4162,1.8814
0.4169,1.8814
0.4176,1.8777
0.4184,1.8777
0.4191,1.8814
0.4198,1.8740
0.4206,1.8814
0.4214,1.8814
0.4221,1.8777
0.4229,1.8814
0.4236,1.8740
0.4243,1.8740
0.4251,1.8777
0.4258,1.8777
0.4266,1.8740
0.4273,1.8814
0.4281,1.8814
0.4289,1.8814
0.4296,1.8777
0.4303,1.8777
0.4311,1.8814
0.4318,1.8703
0.4325,1.8814
0.4333,1.8703
0.4340,1.8740
0.4347,1.8814
0.4354,1.8777
0.4362,1.8777
0.4370,1.8814
0.4377,1.8777
0.4384,1.8777
0.4392,1.8777
0.4399,1.8740
0.4407,1.8814
0.4414,1.8703
0.4421,1.8777
0.4428,1.8740
0.4435,1.8777
0.4443,1.8814
0.4450,1.8777
0.4457,1.8777
0.4465,1.8814
0.4473,1.8814
0.4480,1.8777
0.4488,1.8814
0.4495,1.8814
0.4502,1.8814
0.4510,1.8814
0.4517,1.8703
0.4524,1.8777
0.4531,1.8703
0.4537,1.8777
0.4544,1.8777
0.4551,1.8777
0.4558,1.8814
0.4565,1.8814
0.4572,1.8740
0.4579,1.8703
0.4587,1.8777
0.4595,1.8814
0.4602,1.8740
0.4610,1.8814
0.4618,1.8777
0.4626,1.8740
0.4633,1.8703
0.4641,1.8740
0.4649,1.8777
0.4656,1.8777
0.4663,1.8777
0.4670,1.8740
0.4677,1.8777
0.4684,1.8814
0.4690,1.8777
0.4697,1.8740
0.4704,1.8740
0.4711,1.8814
0.4717,1.8740
0.4724,1.8777
