Время[с],Напряжение[В]
0.3536,1.7590
0.3543,1.7553
0.3550,1.7590
0.3557,1.7590
0.3565,1.7590
0.3572,1.7516
0.3579,1.7590
0.3587,1.7590
0.3594,1.7590
0.3601,1.7590
0.3609,1.7590
0.3616,1.7553
0.3623,1.7553
0.3631,1.7590
0.3639,1.7516
0.3646,1.7590
0.3653,1.7553
0.3660,1.7590
0.3667,1.7516
0.3675,1.7553
0.3681,1.7516
0.3688,1.7553
0.3695,1.7553
0.3703,1.7553
0.3710,1.7590
0.3718,1.7516
0.3725,1.7553
0.3732,1.7590
0.3739,1.7590
0.3746,1.7516
0.3754,1.7516
0.3761,1.7516
0.3768,1.7590
0.3775,1.7590
0.3782,1.7590
0.3789,1.7590
0.3796,1.7553
0.3803,1.7516
0.3811,1.7590
0.3818,1.7590
0.3825,1.7479
0.3831,1.7590
0.3838,1.7553
0.3845,1.7590
0.3853,1.7590
0.3861,1.7590
0.3868,1.7590
0.3875,1.7590
0.3883,1.7590
0.3890,1.7590
0.3897,1.7590
0.3904,1.7516
0.3911,1.7590
0.3919,1.7590
0.3926,1.7590
0.3934,1.7627
0.3941,1.7590
0.3948,1.7590
0.3955,1.7590
0.3961,1.7553
0.3968,1.7590
0.3975,1.7590
0.3983,1.7479
0.3990,1.7590
0.3998,1.7553
0.4005,1.7516
0.4012,1.7516
0.4020,1.7590
0.4026,1.7590
0.4033,1.7516
0.4040,1.7553
0.4046,1.7590
0.4054,1.7590
0.4061,1.7553
0.4069,1.7590
0.4076,1.7516
0.4084,1.7553
0.4091,1.7627
0.4098,1.7590
0.4105,1.7553
0.4112,1.7516
0.4118,1.7590
0.4126,1.7553
0.4134,1.7516
0.4141,1.7516
0.4149,1.7553
0.4156,1.7516
0.4163,1.7516
0.4170,1.7553
0.4177,1.7590
0.4184,1.7590
0.4190,1.7553
0.4197,1.7590
0.4204,1.7627
0.4212,1.7516
0.4219,1.7553
0.4227,1.7590
0.4234,1.7590
0.4240,1.7516
0.4247,1.7553
0.4254,1.7590
0.4261,1.7590
0.4268,1.7627
0.4275,1.7590
0.4283,1.7590
0.4290,1.7553
0.4297,1.7590
0.4304,1.7590
0.4311,1.7516
0.4318,1.7590
0.4325,1.7516
0.4332,1.7590
0.4339,1.7590
0.4346,1.7590
0.4353,1.7590
0.4360,1.7627
0.4366,1.7516
0.4373,1.7590
0.4380,1.7516
0.4387,1.7553
0.4395,1.7590
0.4403,1.7590
0.4410,1.7516
0.4421,1.7516
0.4432,1.7553
0.4442,1.7590
0.4450,1.7516
0.4461,1.7553
0.4474,1.7590
0.4483,1.7553
0.4492,1.7590
0.4500,1.7590
0.4508,1.7627
0.4517,1.7553
0.4525,1.7590
0.4534,1.7516
0.4542,1.7627
0.4551,1.7590
0.4559,1.7516
0.4568,1.7590
0.4576,1.7516
0.4584,1.7590
0.4593,1.7590
0.4600,1.7590
0.4608,1.7590
0.4616,1.7590
0.4623,1.7590
0.4631,1.7516
0.4639,1.7590
0.4646,1.7553
0.4654,1.7590
0.4661,1.7590
0.4669,1.7590
0.4677,1.7516
0.4685,1.7590
0.4693,1.7590
0.4702,1.7516
0.4711,1.7590
0.4720,1.7590
0.4728,1.7590
0.4736,1.7590
0.4745,1.7590
0.4755,1.7590
0.4766,1.7553
0.4776,1.7590
0.4785,1.7553
0.4793,1.7627
0.4802,1.7590
0.4811,1.7590
0.4820,1.7590
0.4829,1.7553
0.4838,1.7516
0.4847,1.7516
0.4856,1.7590
0.4865,1.7553
0.4873,1.7590
0.4882,1.7553
0.4890,1.7553
0.4898,1.7553
0.4908,1.7516
0.4918,1.7590
0.4927,1.7590
0.4937,1.7590
0.4945,1.7553
0.4953,1.7590
