Время[с],Напряжение[В]
0.3098,1.7033
0.3105,1.7070
0.3112,1.7033
0.3120,1.6959
0.3128,1.7070
0.3135,1.7033
0.3142,1.7033
0.3149,1.7033
0.3157,1.6996
0.3165,1.6959
0.3172,1.7033
0.3180,1.7033
0.3187,1.7033
0.3194,1.7070
0.3202,1.7070
0.3209,1.6996
0.3217,1.6996
0.3225,1.7033
0.3232,1.7033
0.3240,1.7033
0.3247,1.6996
0.3255,1.7033
0.3263,1.7033
0.3271,1.7033
0.3278,1.7033
0.3286,1.7033
0.3293,1.6996
0.3299,1.7033
0.3307,1.6996
0.3314,1.7070
0.3321,1.6996
0.3328,1.6996
0.3336,1.7033
0.3343,1.6996
0.3350,1.7033
0.3358,1.7033
0.3365,1.7070
0.3372,1.6996
0.3380,1.7033
0.3388,1.7033
0.3396,1.7033
0.3403,1.6996
0.3411,1.7033
0.3419,1.7033
0.3426,1.7033
0.3433,1.7033
0.3441,1.7033
0.3448,1.7070
0.3455,1.7033
0.3463,1.7033
0.3471,1.7033
0.3479,1.7033
0.3486,1.7033
0.3494,1.7070
0.3502,1.7033
0.3510,1.7070
0.3518,1.7033
0.3526,1.7033
0.3533,1.6996
0.3541,1.6959
0.3549,1.6996
0.3556,1.6959
0.3564,1.7070
0.3571,1.7033
0.3579,1.7033
0.3586,1.7033
0.3594,1.6996
0.3601,1.7070
0.3609,1.7070
0.3616,1.7033
0.3624,1.7070
0.3632,1.6996
0.3639,1.7033
0.3647,1.6996
0.3654,1.6959
0.3663,1.6996
0.3670,1.7070
0.3677,1.6996
0.3684,1.7070
0.3692,1.6996
0.3699,1.7070
0.3706,1.7070
0.3713,1.7070
0.3720,1.7070
0.3727,1.7070
0.3733,1.7070
0.3740,1.7033
0.3746,1.7070
0.3753,1.7070
0.3760,1.7070
0.3767,1.7070
0.3775,1.7070
0.3782,1.7070
0.3790,1.7070
0.3798,1.7033
0.3805,1.7070
0.3813,1.6996
0.3820,1.7070
0.3828,1.7070
0.3836,1.7107
0.3844,1.7070
0.3852,1.7070
0.3860,1.7107
0.3867,1.7070
0.3874,1.7107
0.3882,1.7070
0.3889,1.7033
0.3896,1.7070
0.3903,1.7107
0.3910,1.7070
0.3917,1.7070
0.3924,1.7070
0.3932,1.7070
0.3939,1.6996
0.3946,1.7033
0.3953,1.7033
0.3960,1.6996
0.3967,1.7033
0.3975,1.7107
0.3982,1.6996
0.3990,1.7033
0.3998,1.7070
0.4005,1.7070
0.4013,1.7070
0.4021,1.7070
0.4029,1.6996
0.4035,1.7070
0.4042,1.7070
0.4047,1.7107
0.4053,1.7070
0.4059,1.7070
0.4065,1.7070
0.4071,1.7107
0.4078,1.7070
0.4084,1.6996
0.4090,1.7033
0.4096,1.7070
0.4102,1.7107
0.4108,1.7033
0.4115,1.7033
0.4121,1.6996
0.4127,1.7070
0.4133,1.7070
0.4139,1.7033
0.4145,1.7070
0.4151,1.7033
0.4158,1.7070
0.4165,1.7070
0.4172,1.7070
0.4179,1.7070
0.4186,1.6959
0.4193,1.7070
0.4200,1.7070
0.4207,1.7070
0.4214,1.7070
0.4220,1.7070
0.4228,1.7070
0.4235,1.7033
0.4242,1.7107
0.4248,1.7070
0.4255,1.6996
0.4261,1.6996
0.4268,1.7070
0.4275,1.6996
0.4283,1.7033
0.4290,1.7033
0.4297,1.7070
0.4304,1.6996
0.4310,1.7070
0.4317,1.7033
0.4325,1.6996
0.4333,1.7070
0.4340,1.6996
0.4348,1.7070
0.4356,1.7033
0.4363,1.7033
0.4371,1.7070
0.4378,1.7033
0.4385,1.7070
0.4391,1.7070
0.4398,1.7107
0.4404,1.6996
0.4411,1.7033
0.4417,1.6996
0.4424,1.7070
0.4430,1.7033
0.4437,1.7033
0.4444,1.7107
0.4452,1.7033
0.4459,1.6996
0.4467,1.7070
0.4474,1.7070
0.4482,1.6996
0.4489,1.7033
0.4497,1.6996
0.4504,1.7033
0.4511,1.7070
0.4517,1.7033
0.4524,1.7070
0.4530,1.7070
0.4537,1.7070
0.4544,1.7070
0.4550,1.7033
0.4557,1.7070
0.4564,1.6996
0.4571,1.7070
0.4579,1.7033
0.4586,1.7070
0.4593,1.7033
0.4601,1.7070
0.4608,1.7070
0.4615,1.6996
0.4622,1.6996
0.4629,1.7070
0.4635,1.6959
0.4642,1.7033
0.4648,1.6996
0.4655,1.7070
0.4662,1.7070
0.4670,1.7033
0.4677,1.7070
0.4685,1.7070
0.4692,1.7033
0.4700,1.7070
0.4708,1.7070
0.4715,1.7070
0.4723,1.6959
0.4731,1.6996
0.4738,1.7107
0.4745,1.7033
0.4752,1.7070
0.4758,1.7033
0.4764,1.7033
0.4771,1.7070
0.4777,1.7070
0.4784,1.6996
0.4790,1.7033
0.4796,1.7033
0.4803,1.7070
0.4810,1.7070
0.4817,1.7070
0.4825,1.7070
0.4833,1.6996
0.4841,1.7033
0.4848,1.7033
0.4855,1.7033
0.4863,1.7070
0.4870,1.7070
0.4877,1.7033
0.4884,1.6996
0.4891,1.7070
0.4898,1.6959
0.4905,1.7070
0.4912,1.7070
0.4919,1.7070
0.4926,1.7070
0.4934,1.7033
0.4940,1.7033
0.4947,1.7033
0.4955,1.7033
0.4962,1.7070
0.4970,1.7033
0.4978,1.7033
0.4985,1.6996
0.4993,1.7107
0.5001,1.6959
0.5008,1.7033
0.5016,1.7070
0.5024,1.6996
0.5031,1.7033
0.5038,1.7033
0.5045,1.6996
0.5051,1.7033
0.5058,1.7033
0.5064,1.7070
0.5071,1.7070
0.5078,1.7033
0.5084,1.7033
0.5091,1.7033
0.5097,1.7033
0.5104,1.7033
0.5110,1.6996
0.5117,1.6996
0.5123,1.7033
0.5130,1.7033
0.5138,1.7033
0.5145,1.7033
0.5153,1.7033
0.5160,1.6996
0.5168,1.6959
0.5176,1.7033
0.5184,1.6996
0.5191,1.7033
0.5199,1.6959
0.5207,1.6959
0.5214,1.7033
0.5223,1.7033
0.5234,1.7070
0.5242,1.7033
0.5249,1.6996
0.5257,1.7033
0.5265,1.7033
0.5273,1.7033
0.5282,1.7070
0.5291,1.7033
0.5299,1.6959
0.5308,1.7070
0.5316,1.7033
0.5324,1.6996
0.5333,1.6996
0.5341,1.6959
0.5349,1.7033
0.5357,1.7070
0.5365,1.7033
0.5374,1.6996
0.5382,1.6996
0.5390,1.7033
0.5399,1.6996
0.5407,1.7033
0.5416,1.6922
0.5424,1.7033
0.5432,1.6959
0.5440,1.6996
0.5448,1.7033
0.5457,1.7033
0.5466,1.7033
0.5474,1.7033
0.5481,1.7033
0.5489,1.7070
0.5497,1.7033
0.5505,1.7033
0.5513,1.7033
0.5521,1.7033
0.5529,1.7033
0.5536,1.6996
0.5544,1.7070
0.5552,1.6996
0.5560,1.7033
0.5569,1.7033
0.5580,1.6959
0.5589,1.6996
0.5597,1.6959
0.5606,1.7033
0.5614,1.7033
0.5622,1.6959
0.5630,1.6996
0.5638,1.6959
0.5646,1.7033
0.5655,1.7033
0.5663,1.7033
0.5672,1.7033
0.5680,1.7033
0.5687,1.7033
0.5695,1.7070
0.5703,1.7033
0.5710,1.7033
0.5718,1.7033
0.5725,1.7033
0.5733,1.7033
0.5740,1.7070
0.5747,1.6996
0.5755,1.6996
0.5763,1.6996
0.5771,1.7033
0.5780,1.7070
0.5789,1.7070
0.5798,1.6996
0.5807,1.6922
0.5814,1.7033
0.5822,1.7033
0.5829,1.7033
0.5836,1.7033
0.5844,1.7033
0.5851,1.7033
0.5858,1.6996
0.5867,1.7033
0.5878,1.6996
0.5889,1.6996
0.5900,1.7033
0.5907,1.7033
0.5915,1.7033
0.5922,1.7033
0.5928,1.7033
0.5935,1.7033
0.5942,1.7033
0.5952,1.6959
0.5961,1.6959
